gender,grade,major_type,monthly_allowance,food_spending,entertainment_spending,fitness_frequency,monthly_fitness_spending,fitness_goal,willingness_to_pay,bookkeeping_habit,satisfaction_score,open_feedback,preferred_activities
Male,Graduate,Business,1727,821.0,293,1-2 times/month,99.0,Health maintenance,241,Often,1.1,Convenient workout spaces near the dorm would probably increase my exercise frequency. I would spend more if the quality felt more consistent.,Cycling
Female,Freshman,Business,1904,839.0,181,1-2 times/week,271.0,Health maintenance,434,Sometimes,2.7,Convenient workout spaces near the dorm would probably increase my exercise frequency. My choices are strongly affected by academic pressure.,Swimming
Male,Freshman,STEM,2498,1179.0,597,1-2 times/week,154.0,Stress relief,283,Often,5.0,I would like clearer budgeting tools because entertainment spending is easy to underestimate. I usually decide based on convenience rather than long-term plans. My choices are strongly affected by academic pressure.,Swimming; Home workout
Male,Freshman,Arts,1674,702.0,194,1-2 times/week,201.0,Stress relief,176,Rarely,3.9,Discount bundles for meals and sports would help students balance lifestyle goals. Right now I mostly rely on habits instead of a formal budget.,"Basketball, Gym"
Female,Junior,STEM,2441,1125.0,919,3-4 times/week,250.0,Muscle gain,337,Often,3.0,I would like clearer budgeting tools because entertainment spending is easy to underestimate. My choices are strongly affected by academic pressure. Weekend facilities matter more to me than weekday access.,Basketball，Badminton，Cycling
Non-binary,Sophomore,STEM,1517,586.0,225,1-2 times/month,84.0,Weight loss,165,Never,3.2,Discount bundles for meals and sports would help students balance lifestyle goals. Better information about classes and schedules would increase participation.,Swimming
Male,Senior,STEM,2088,1249.0,386,5+ times/week,256.0,Health maintenance,359,Always,3.9,Group fitness classes make it easier for me to stay motivated every week. Weekend facilities matter more to me than weekday access.,Gym; Yoga
Male,Senior,STEM,2260,666.0,202,3-4 times/week,230.0,Weight loss,350,Sometimes,4.4,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Right now I mostly rely on habits instead of a formal budget.,"Home workout, Yoga, Basketball"
Female,Sophomore,Business,3545,1847.0,1061,5+ times/week,373.0,Muscle gain,592,Sometimes,5.0,I wish the campus gym stayed open later during exam season. Weekend facilities matter more to me than weekday access.,"Badminton, Home workout"
Female,Graduate,Business,1442,,373,3-4 times/week,368.0,Weight loss,463,Often,4.1,"Healthy food options are improving, but prices still feel a little high. I would spend more if the quality felt more consistent.",Badminton、Home workout
Female,Senior,STEM,3010,1059.0,604,1-2 times/month,127.0,Weight loss,270,Sometimes,3.0,Convenient workout spaces near the dorm would probably increase my exercise frequency. A student discount for healthy meals would make a real difference.,Home workout
Male,Sophomore,STEM,2282,1365.0,196,1-2 times/week,216.0,Health maintenance,331,Rarely,4.0,My spending changes a lot when assignments pile up and I have less free time. I would spend more if the quality felt more consistent. Weekend facilities matter more to me than weekday access.,Running
Male,Sophomore,STEM,2426,1212.0,472,1-2 times/month,,Stress relief,139,Never,2.9,I only spend on exercise when I feel stressed or need to reset my routine. I usually decide based on convenience rather than long-term plans.,Basketball，Swimming
Male,Sophomore,Business,2265,1127.0,230,3-4 times/week,332.0,Muscle gain,494,Often,3.0,Discount bundles for meals and sports would help students balance lifestyle goals. Better information about classes and schedules would increase participation.,
Female,Freshman,STEM,2445,1032.0,690,1-2 times/week,139.0,Weight loss,295,Often,2.1,I wish the campus gym stayed open later during exam season. Weekend facilities matter more to me than weekday access.,Cycling
Female,Freshman,Humanities,2115,852.0,501,1-2 times/month,,Muscle gain,292,Rarely,2.0,"Healthy food options are improving, but prices still feel a little high. Better information about classes and schedules would increase participation. Flexible membership options would feel more attractive than full packages.",Running
Male,Graduate,STEM,3000,1210.0,560,5+ times/week,578.0,Muscle gain,913,Sometimes,3.1,Convenient workout spaces near the dorm would probably increase my exercise frequency. Weekend facilities matter more to me than weekday access. Friends influence my fitness spending more than promotions do.,Basketball，Swimming
Female,Junior,STEM,1949,879.0,80,1-2 times/month,99.0,Health maintenance,105,Often,2.3,I only spend on exercise when I feel stressed or need to reset my routine. Friends influence my fitness spending more than promotions do.,Badminton，Cycling
Male,Sophomore,Business,2823,1502.0,314,1-2 times/week,58.0,Stress relief,92,Rarely,3.4,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Better information about classes and schedules would increase participation. A student discount for healthy meals would make a real difference.,Running
Male,Senior,Business,1846,802.0,421,3-4 times/week,181.0,Stress relief,302,Sometimes,2.9,I would like clearer budgeting tools because entertainment spending is easy to underestimate. I usually decide based on convenience rather than long-term plans.,Basketball，Swimming
Male,Junior,STEM,2167,752.0,574,Never,52.0,Stress relief,104,Rarely,1.0,My spending changes a lot when assignments pile up and I have less free time. I would spend more if the quality felt more consistent.,Yoga
Female,Graduate,STEM,1610,782.0,415,1-2 times/week,169.0,Socializing,350,Sometimes,2.7,Discount bundles for meals and sports would help students balance lifestyle goals. Friends influence my fitness spending more than promotions do.,Swimming; Gym
Non-binary,Senior,Social Science,2450,1210.0,168,3-4 times/week,271.0,Health maintenance,446,Sometimes,3.4,Group fitness classes make it easier for me to stay motivated every week. Friends influence my fitness spending more than promotions do.,Gym，Basketball
Male,Junior,STEM,2995,1415.0,602,Never,53.0,Stress relief,192,Often,2.7,I wish the campus gym stayed open later during exam season. My choices are strongly affected by academic pressure.,Home workout
Male,Sophomore,Business,2157,1035.0,542,1-2 times/week,278.0,Stress relief,389,Rarely,4.6,Discount bundles for meals and sports would help students balance lifestyle goals. My choices are strongly affected by academic pressure. A student discount for healthy meals would make a real difference.,Running，Gym
Female,Graduate,Business,2092,833.0,134,1-2 times/month,103.0,Weight loss,164,Often,2.7,My spending changes a lot when assignments pile up and I have less free time. Weekend facilities matter more to me than weekday access.,Gym
Female,Senior,STEM,1587,549.0,285,3-4 times/week,279.0,Socializing,492,Rarely,4.5,I wish the campus gym stayed open later during exam season. I would spend more if the quality felt more consistent. I usually decide based on convenience rather than long-term plans.,"Home workout, Cycling, Badminton"
Female,Graduate,Business,2074,727.0,413,1-2 times/month,149.0,Muscle gain,287,Rarely,3.4,Group fitness classes make it easier for me to stay motivated every week. A student discount for healthy meals would make a real difference. Better information about classes and schedules would increase participation.,Basketball
Female,Freshman,Social Science,1324,500.0,210,5+ times/week,373.0,Muscle gain,583,Rarely,3.8,Discount bundles for meals and sports would help students balance lifestyle goals. Friends influence my fitness spending more than promotions do. I become much more price-sensitive near the end of each month.,"Home workout, Swimming"
Male,Senior,Social Science,1698,745.0,85,5+ times/week,396.0,Socializing,489,Always,3.2,Convenient workout spaces near the dorm would probably increase my exercise frequency. Flexible membership options would feel more attractive than full packages.,Gym; Swimming
Male,Junior,STEM,2325,961.0,365,1-2 times/month,111.0,Health maintenance,236,Often,3.2,Discount bundles for meals and sports would help students balance lifestyle goals. Weekend facilities matter more to me than weekday access.,
Non-binary,Freshman,STEM,2925,,459,1-2 times/week,96.0,Weight loss,231,Sometimes,2.6,Discount bundles for meals and sports would help students balance lifestyle goals. I would spend more if the quality felt more consistent.,Gym、Basketball
Female,Junior,STEM,3745,687.0,635,1-2 times/week,252.0,Weight loss,350,Sometimes,3.6,Discount bundles for meals and sports would help students balance lifestyle goals. Friends influence my fitness spending more than promotions do.,Swimming，Yoga
Female,Senior,Business,1877,601.0,264,3-4 times/week,226.0,Weight loss,379,Never,3.6,"Healthy food options are improving, but prices still feel a little high. Weekend facilities matter more to me than weekday access. I would spend more if the quality felt more consistent.",Cycling; Yoga; Home workout
Female,Freshman,Humanities,2989,1523.0,445,1-2 times/week,172.0,Stress relief,355,Sometimes,2.7,My spending changes a lot when assignments pile up and I have less free time. My choices are strongly affected by academic pressure.,Yoga，Gym
Female,Junior,STEM,2334,856.0,414,1-2 times/month,109.0,Weight loss,264,Never,3.9,My spending changes a lot when assignments pile up and I have less free time. Flexible membership options would feel more attractive than full packages. A student discount for healthy meals would make a real difference.,Gym
Female,Senior,STEM,2117,950.0,447,1-2 times/month,34.0,Socializing,171,Often,3.5,Convenient workout spaces near the dorm would probably increase my exercise frequency. A student discount for healthy meals would make a real difference. I would spend more if the quality felt more consistent.,Gym
Female,Sophomore,Arts,2438,753.0,387,5+ times/week,,Socializing,320,Sometimes,3.5,I wish the campus gym stayed open later during exam season. A student discount for healthy meals would make a real difference.,Badminton，Swimming
Female,Junior,STEM,2234,1195.0,338,1-2 times/week,241.0,Stress relief,319,Always,3.6,Discount bundles for meals and sports would help students balance lifestyle goals. I become much more price-sensitive near the end of each month.,Swimming，Basketball
Male,Junior,Business,2261,924.0,422,3-4 times/week,,Stress relief,355,Rarely,3.7,My spending changes a lot when assignments pile up and I have less free time. Better information about classes and schedules would increase participation.,"Running, Swimming"
Female,Sophomore,Humanities,1975,875.0,90,1-2 times/week,91.0,Muscle gain,155,Often,2.5,I wish the campus gym stayed open later during exam season. Friends influence my fitness spending more than promotions do.,Gym
Male,Graduate,STEM,1431,867.0,305,5+ times/week,279.0,Weight loss,616,Often,3.9,I wish the campus gym stayed open later during exam season. Friends influence my fitness spending more than promotions do.,"Badminton, Home workout, Basketball"
Male,Senior,STEM,1351,731.0,243,Never,99.0,Health maintenance,240,Rarely,2.7,I wish the campus gym stayed open later during exam season. I become much more price-sensitive near the end of each month.,Home workout、Running
Female,Freshman,STEM,2559,1012.0,468,1-2 times/month,117.0,Weight loss,215,Sometimes,2.5,Convenient workout spaces near the dorm would probably increase my exercise frequency. Right now I mostly rely on habits instead of a formal budget.,Swimming
Male,Graduate,Arts,2048,763.0,506,5+ times/week,125.0,Weight loss,219,Always,2.6,Discount bundles for meals and sports would help students balance lifestyle goals. Right now I mostly rely on habits instead of a formal budget.,Basketball; Gym
Male,Senior,STEM,1872,737.0,81,5+ times/week,503.0,Muscle gain,907,Always,3.5,I wish the campus gym stayed open later during exam season. Weekend facilities matter more to me than weekday access.,Running、Gym
