customer_id,signup_date,region,monthly_spend,satisfaction_score,recommend_score,used_features,feedback_text
CU-2001,2023-01-15,East,320.5,4,8,search;checkout,"Overall smooth experience, but delivery updates could arrive faster."
CU-2002,2023-02-03,West,150.0,3,6,browse;support,"The support team was helpful, yet response times felt slow on weekends."
CU-2003,2023-02-20,North,410.0,5,9,search;favorites;checkout,"Great product range and the checkout flow is very easy to use."
CU-2004,2023-03-08,East,95.5,2,3,browse,"Too many notifications, and the app feels cluttered on older phones."
CU-2005,2023-03-27,West,275.0,4,7,search;checkout;support,"Prices are fair and I like the loyalty points, keep improving search."
CU-2006,2023-04-11,North,180.0,3,5,favorites;browse,"Wishlist sync between devices sometimes fails, which is frustrating."
CU-2007,2023-05-02,East,520.0,5,10,search;favorites;checkout;support,"Excellent service overall, my orders always arrive earlier than promised."
CU-2008,2023-05-19,West,60.0,1,2,browse,"Checkout kept failing on my first order, almost gave up on the app."
CU-2009,2023-06-06,North,240.0,4,8,search;checkout,"Solid app for daily shopping, would like more payment options though."
CU-2010,2023-06-24,East,305.0,4,7,search;favorites,"Recommendations feel accurate, though filters could be more flexible."
CU-2011,2023-07-12,West,130.0,2,4,support;browse,"Refund process took two weeks, that is far too long for a small item."
CU-2012,2023-07-30,North,455.0,5,9,search;checkout;favorites,"Fast delivery and clear tracking, this is my main shopping app now."
CU-2013,2023-08-15,East,210.0,3,6,browse;checkout,"Decent selection, but out-of-stock items show up in search too often."
CU-2014,2023-09-01,West,340.0,4,8,search;support;checkout,"App updates keep making things better, search speed improved a lot."
CU-2015,2023-09-20,North,85.0,2,3,browse,"Coupons expire too quickly, and applying them at checkout is confusing."
CU-2016,2023-10-05,East,390.0,5,9,search;favorites;checkout,"Love the weekly deals, saved a lot on household items this year."
CU-2017,2023-10-23,West,175.0,3,5,favorites;browse,"Product photos are nice, however size charts are often missing."
CU-2018,2023-11-09,North,265.0,4,7,search;checkout,"Reliable delivery in my area, packaging quality has been consistent."
CU-2019,2023-11-28,East,110.0,2,4,support;browse,"Live chat disconnects randomly, had to repeat my issue three times."
CU-2020,2023-12-14,West,480.0,5,10,search;favorites;checkout;support,"Best customer experience I have had, the premium tier is worth it."
CU-2021,2024-01-04,North,225.0,3,6,browse;favorites,"Mostly satisfied, though the home page pushes too many sponsored items."
CU-2022,2024-01-22,East,355.0,4,8,search;checkout,"Return labels are easy to print now, big improvement from last year."
CU-2023,2024-02-09,West,145.0,3,5,browse;support,"Average experience, nothing terrible but nothing memorable either."
CU-2024,2024-02-26,North,295.0,4,7,search;favorites;checkout,"Order history search is handy, please add spending summaries by month."
